arabic_sentence,franco_arabic
"شقة للبيع في ايستاون 191 متر ب 5 أوض و 8 حمامات, بسعر 29954000 في القاهرة الجديدة",shqh llby3 fy aystawn 191 mtr b 5 2w9d w 8 7mamat bs3r 29954000 fy alqahrh algdydh
"فيلا مستقلة للبيع في هاسيندا باي 299 متر ب 3 أوض و 3 حمامات, بسعر 57337000 في سيدي عبد إل-رحمان",fyla mstqlh llby3 fy hasynda bay 299 mtr b 3 2w9d w 3 7mamat bs3r 57337000 fy sydy 3bd 2l-r7man
"فيلا مستقلة للبيع في زوي إكستينشن 364 متر ب أوضة و حمام, بسعر 34917000 في 6 أكتوبر",fyla mstqlh llby3 fy zwy 2kstynshn 364 mtr b 2w9dh w 7mam bs3r 34917000 fy 6 2ktwbr
"شقة للبيع في اليجريا ريزيدنس 191 متر ب أوضة و حمام, بسعر 36490000 في مدينة المستقبل",shqh llby3 fy alygrya ryzydns 191 mtr b 2w9dh w 7mam bs3r 36490000 fy mdynh almstqbl
"استوديو للبيع فى نوشن بمساحة 51 متر ب أوضة و حمام, بسعر 3377300 في ماديناتي",astwdyw llby3 fy nwshn bmsa7h 51 mtr b 2w9dh w 7mam bs3r 3377300 fy madynaty
"محل تجاري/مطعم  للبيع في أوبال بيزنس كومبلكس 78 متر ب 3 أوض و 3 حمامات, بسعر 25601360 في ماديناتي",m7l tgary/m63m  llby3 fy 2wbal byzns kwmblks 78 mtr b 3 2w9d w 3 7mamat bs3r 25601360 fy madynaty
"محل تجاري للبيع في أوبال بيزنس كومبلكس 119 متر ب أوضة و حمامين, بسعر 24196800 في ماديناتي",m7l tgary llby3 fy 2wbal byzns kwmblks 119 mtr b 2w9dh w 7mamyn bs3r 24196800 fy madynaty
"بنت هاوس للبيع في اوجما فيلدج 153 متر ب أوضتين و 3 حمامات, بسعر 17224000 في راس حكمة",bnt haws llby3 fy awgma fyldg 153 mtr b 2w9dtyn w 3 7mamat bs3r 17224000 fy ras 7kmh
"بنت هاوس للبيع في اوجما فيلدج 98 متر ب 3 أوض و 3 حمامات, بسعر 14150000 في راس حكمة",bnt haws llby3 fy awgma fyldg 98 mtr b 3 2w9d w 3 7mamat bs3r 14150000 fy ras 7kmh
"شاليه للبيع في اوجما فيلدج 107 متر ب 3 أوض و 3 حمامات, بسعر 16142000 في راس حكمة",shalyh llby3 fy awgma fyldg 107 mtr b 3 2w9d w 3 7mamat bs3r 16142000 fy ras 7kmh
"شاليه للبيع في اوجما فيلدج 146 متر ب أوضة و حمام, بسعر 20833000 في راس حكمة",shalyh llby3 fy awgma fyldg 146 mtr b 2w9dh w 7mam bs3r 20833000 fy ras 7kmh
"محل تجارى للبيع فى الكرمة مول 4 الشيخ زايد بمساحة 322 متر ب أوضتين و حمامين, بسعر 30700000 في مدينة المستقبل",m7l tgary llby3 fy alkrmh mwl 4 alshy5 zayd bmsa7h 322 mtr b 2w9dtyn w 7mamyn bs3r 30700000 fy mdynh almstqbl
"محل تجارى للبيع فى الكرمة مول 4 الشيخ زايد بمساحة 32 متر ب 4 أوض و 4 حمامات, بسعر 3000000 في مدينة المستقبل",m7l tgary llby3 fy alkrmh mwl 4 alshy5 zayd bmsa7h 32 mtr b 4 2w9d w 4 7mamat bs3r 3000000 fy mdynh almstqbl
"شقة للبيع في آزاد فيوز 100 متر ب 4 أوض و 3 حمامات, بسعر 14821722 في القاهرة الجديدة",shqh llby3 fy آzad fywz 100 mtr b 4 2w9d w 3 7mamat bs3r 14821722 fy alqahrh algdydh
"توين هاوس للبيع في مكاني 485 متر ب 6 أوض و 7 حمامات, بسعر 39900000 في العين السخنة",twyn haws llby3 fy mkany 485 mtr b 6 2w9d w 7 7mamat bs3r 39900000 fy al3yn als5nh
"شقة للبيع في آزاد فيوز 209 متر ب 5 أوض و 6 حمامات, بسعر 22772975 في القاهرة الجديدة",shqh llby3 fy آzad fywz 209 mtr b 5 2w9d w 6 7mamat bs3r 22772975 fy alqahrh algdydh
"فيلا مستقلة للبيع في مكاني 345 متر ب 3 أوض و 4 حمامات, بسعر 30700000 في العين السخنة",fyla mstqlh llby3 fy mkany 345 mtr b 3 2w9d w 4 7mamat bs3r 30700000 fy al3yn als5nh
"فيلا مستقلة للبيع في مكاني 335 متر ب أوضتين و حمامين, بسعر 18050000 في العين السخنة",fyla mstqlh llby3 fy mkany 335 mtr b 2w9dtyn w 7mamyn bs3r 18050000 fy al3yn als5nh
"شاليه للبيع في مكاني 165 متر ب أوضتين و حمامين, بسعر 10712047 في العين السخنة",shalyh llby3 fy mkany 165 mtr b 2w9dtyn w 7mamyn bs3r 10712047 fy al3yn als5nh
"شاليه للبيع في مكاني 135 متر ب أوضتين و حمامين, بسعر 6378750 في العين السخنة",shalyh llby3 fy mkany 135 mtr b 2w9dtyn w 7mamyn bs3r 6378750 fy al3yn als5nh
"شقة فندقية للبيع في مكاني 85 متر ب أوضة و حمام, بسعر 5783400 في العين السخنة",shqh fndqyh llby3 fy mkany 85 mtr b 2w9dh w 7mam bs3r 5783400 fy al3yn als5nh
"شقة فندقية للبيع في مكاني 100 متر ب 5 أوض و 6 حمامات, بسعر 7228800 في العين السخنة",shqh fndqyh llby3 fy mkany 100 mtr b 5 2w9d w 6 7mamat bs3r 7228800 fy al3yn als5nh
"أستوديو للبيع في باي سايد 75 متر ب 3 أوض و 4 حمامات, بسعر 4600000 في العين السخنة",2stwdyw llby3 fy bay sayd 75 mtr b 3 2w9d w 4 7mamat bs3r 4600000 fy al3yn als5nh
"شقة للبيع في إن إم كيو 295 متر ب 3 أوض و 3 حمامات, بسعر 34221000 في مدينة المستقبل",shqh llby3 fy 2n 2m kyw 295 mtr b 3 2w9d w 3 7mamat bs3r 34221000 fy mdynh almstqbl
"تاون هاوس للبيع فى ان ام كيو بمساحة 174 متر ب 3 أوض و 3 حمامات, بسعر 17378000 في مدينة المستقبل",tawn haws llby3 fy an am kyw bmsa7h 174 mtr b 3 2w9d w 3 7mamat bs3r 17378000 fy mdynh almstqbl
"فيلا مستقلة  للبيع فى بارك فالى ديوان بمساحة 245 متر ب 4 أوض و 3 حمامات, بسعر 7905000 في مدينة المستقبل",fyla mstqlh  llby3 fy bark faly dywan bmsa7h 245 mtr b 4 2w9d w 3 7mamat bs3r 7905000 fy mdynh almstqbl
"فيلا مستقلة للبيع فى بارك فالى ديوان بمساحة 270 متر ب 4 أوض و 4 حمامات, بسعر 9350000 في مدينة المستقبل",fyla mstqlh llby3 fy bark faly dywan bmsa7h 270 mtr b 4 2w9d w 4 7mamat bs3r 9350000 fy mdynh almstqbl
"فيلا مستقلة للبيع فى بارك فالى 2 بمساحة 365 متر ب 3 أوض و 4 حمامات, بسعر 14000000 في مدينة المستقبل",fyla mstqlh llby3 fy bark faly 2 bmsa7h 365 mtr b 3 2w9d w 4 7mamat bs3r 14000000 fy mdynh almstqbl
"فيلا مستقلة للبيع فى بارك فالى 2 بمساحة 255 متر ب 3 أوض و 3 حمامات, بسعر 12000000 في مدينة المستقبل",fyla mstqlh llby3 fy bark faly 2 bmsa7h 255 mtr b 3 2w9d w 3 7mamat bs3r 12000000 fy mdynh almstqbl
"فيلا مستقلة للبيع فى بارك فالى ريزدنس بمساحة 311 متر ب 3 أوض و 3 حمامات, بسعر 11900000 في مدينة المستقبل",fyla mstqlh llby3 fy bark faly ryzdns bmsa7h 311 mtr b 3 2w9d w 3 7mamat bs3r 11900000 fy mdynh almstqbl
"توين هاوس للبيع فى بارك فالى ريزدنس بمساحة 276 متر ب 3 أوض و 3 حمامات, بسعر 10500000 في مدينة المستقبل",twyn haws llby3 fy bark faly ryzdns bmsa7h 276 mtr b 3 2w9d w 3 7mamat bs3r 10500000 fy mdynh almstqbl
"شقة للبيع مارينا 8 بمساحة 184 متر ب 3 أوض و 5 حمامات, بسعر 11740000 في العلمين",shqh llby3 maryna 8 bmsa7h 184 mtr b 3 2w9d w 5 7mamat bs3r 11740000 fy al3lmyn
"محل تجاري للبيع في سنترال 233 متر ب أوضتين و 5 حمامات, بسعر 99654000 في القاهرة الجديدة",m7l tgary llby3 fy sntral 233 mtr b 2w9dtyn w 5 7mamat bs3r 99654000 fy alqahrh algdydh
"دوبلكس للبيع فى ايدج بمساحة 356 متر ب أوضة و حمام, بسعر 66315000 في القاهرة الجديدة",dwblks llby3 fy aydg bmsa7h 356 mtr b 2w9dh w 7mam bs3r 66315000 fy alqahrh algdydh
"دوبلكس للبيع فى ايدج بمساحة 194 متر ب 3 أوض و 4 حمامات, بسعر 34055000 في القاهرة الجديدة",dwblks llby3 fy aydg bmsa7h 194 mtr b 3 2w9d w 4 7mamat bs3r 34055000 fy alqahrh algdydh
"شقة للبيع فى ايدج بمساحة 89 متر ب 3 أوض و 3 حمامات, بسعر 15520000 في القاهرة الجديدة",shqh llby3 fy aydg bmsa7h 89 mtr b 3 2w9d w 3 7mamat bs3r 15520000 fy alqahrh algdydh
"شقة للبيع فى ايدج بمساحة 249 متر ب 6 أوض و حمام, بسعر 51985000 في القاهرة الجديدة",shqh llby3 fy aydg bmsa7h 249 mtr b 6 2w9d w 7mam bs3r 51985000 fy alqahrh algdydh
"دوبلكس للبيع في كريستال ايديشن 215 متر ب أوضة و حمام, بسعر 27710000 في راس حكمة",dwblks llby3 fy krystal aydyshn 215 mtr b 2w9dh w 7mam bs3r 27710000 fy ras 7kmh
"دوبلكس للبيع في كريستال ايديشن 353 متر ب 4 أوض و 4 حمامات, بسعر 36200000 في راس حكمة",dwblks llby3 fy krystal aydyshn 353 mtr b 4 2w9d w 4 7mamat bs3r 36200000 fy ras 7kmh
"مكتب ادارى للبيع فى كليف بمساحة 38 متر ب 3 أوض و 3 حمامات, بسعر 10393000 في القاهرة الجديدة",mktb adary llby3 fy klyf bmsa7h 38 mtr b 3 2w9d w 3 7mamat bs3r 10393000 fy alqahrh algdydh
"مكتب اداري للبيع فى كليف بمساحة 294 متر ب 3 أوض و 3 حمامات, بسعر 64041000 في القاهرة الجديدة",mktb adary llby3 fy klyf bmsa7h 294 mtr b 3 2w9d w 3 7mamat bs3r 64041000 fy alqahrh algdydh
"تاون هاوس للبيع في ديستريكت 5 القطامية ب 3 أوض و 3 حمامات, بسعر 32504000 في القاهرة الجديدة",tawn haws llby3 fy dystrykt 5 alq6amyh b 3 2w9d w 3 7mamat bs3r 32504000 fy alqahrh algdydh
"تاون هاوس للبيع في ديستريكت 5 القطامية 258 متر ب 3 أوض و 3 حمامات, بسعر 36085000 في القاهرة الجديدة",tawn haws llby3 fy dystrykt 5 alq6amyh 258 mtr b 3 2w9d w 3 7mamat bs3r 36085000 fy alqahrh algdydh
"شقة للبيع في دي جويا 3 العاصمة الإدارية 291 متر ب 3 أوض و 3 حمامات, بسعر 13440000 في ماديناتي",shqh llby3 fy dy gwya 3 al3a9mh al2daryh 291 mtr b 3 2w9d w 3 7mamat bs3r 13440000 fy madynaty
"شقة للبيع في دي جويا 3 العاصمة الإدارية 164 متر ب 3 أوض و 3 حمامات, بسعر 6860000 في ماديناتي",shqh llby3 fy dy gwya 3 al3a9mh al2daryh 164 mtr b 3 2w9d w 3 7mamat bs3r 6860000 fy madynaty
"شقة للبيع في دي جوبا 2 العاصمة الإدارية 158 متر ب 3 أوض و 4 حمامات, بسعر 6974000 في ماديناتي",shqh llby3 fy dy gwba 2 al3a9mh al2daryh 158 mtr b 3 2w9d w 4 7mamat bs3r 6974000 fy madynaty
"شقة للبيع في دي جويا 2 العاصمة الإدارية 164 متر ب 3 أوض و 4 حمامات, بسعر 6860000 في ماديناتي",shqh llby3 fy dy gwya 2 al3a9mh al2daryh 164 mtr b 3 2w9d w 4 7mamat bs3r 6860000 fy madynaty
"تاون هاوس للبيع فى لاجون تاون بمساحة 182 متر ب 4 أوض و 4 حمامات, بسعر 24440000 في راس حكمة",tawn haws llby3 fy lagwn tawn bmsa7h 182 mtr b 4 2w9d w 4 7mamat bs3r 24440000 fy ras 7kmh
"تاون هاوس للبيع فى لاجون تاون بمساحة 182 متر ب 4 أوض و 4 حمامات, بسعر 31290000 في راس حكمة",tawn haws llby3 fy lagwn tawn bmsa7h 182 mtr b 4 2w9d w 4 7mamat bs3r 31290000 fy ras 7kmh
"تاون هاوس للبيع فى ات ايست بمساحة 180 متر ب 3 أوض و 3 حمامات, بسعر 22550000 في ماديناتي",tawn haws llby3 fy at ayst bmsa7h 180 mtr b 3 2w9d w 3 7mamat bs3r 22550000 fy madynaty
"تاون هاوس للبيع فى ات ايست بمساحة 180 متر ب 3 أوض و 3 حمامات, بسعر 19637000 في ماديناتي",tawn haws llby3 fy at ayst bmsa7h 180 mtr b 3 2w9d w 3 7mamat bs3r 19637000 fy madynaty
"كواترو للبيع في الباتيو برايم 205 متر ب 4 أوض و 5 حمامات, بسعر 19250000 في الشروق",kwatrw llby3 fy albatyw braym 205 mtr b 4 2w9d w 5 7mamat bs3r 19250000 fy alshrwq
"كواترو للبيع في الباتيو برايم 211 متر ب 3 أوض و 3 حمامات, بسعر 19500000 في الشروق",kwatrw llby3 fy albatyw braym 211 mtr b 3 2w9d w 3 7mamat bs3r 19500000 fy alshrwq
"توين هاوس للبيع فى ماونتن فيو هايد بارك بمساحة 376 متر ب 4 أوض و 5 حمامات, بسعر 51329040 في القاهرة الجديدة",twyn haws llby3 fy mawntn fyw hayd bark bmsa7h 376 mtr b 4 2w9d w 5 7mamat bs3r 51329040 fy alqahrh algdydh
"كواترو للبيع في الباتيو 5 إيست 212 متر ب 3 أوض و 3 حمامات, بسعر 23400000 في الشروق",kwatrw llby3 fy albatyw 5 2yst 212 mtr b 3 2w9d w 3 7mamat bs3r 23400000 fy alshrwq
"توين هاوس للبيع فى ماونتن فيو هايد بارك بمساحة 376 متر ب 4 أوض و 7 حمامات, بسعر 51329040 في القاهرة الجديدة",twyn haws llby3 fy mawntn fyw hayd bark bmsa7h 376 mtr b 4 2w9d w 7 7mamat bs3r 51329040 fy alqahrh algdydh
"بنتهاوس للبيع فى ماونتن فيو هايد بارك بمساحة 165 متر ب 4 أوض و 7 حمامات, بسعر 17212500 في القاهرة الجديدة",bnthaws llby3 fy mawntn fyw hayd bark bmsa7h 165 mtr b 4 2w9d w 7 7mamat bs3r 17212500 fy alqahrh algdydh
"فيلا مستقلة للبيع فى ماونتن فيو هايد بارك بمساحة 731 متر ب 4 أوض و 4 حمامات, بسعر 125622630 في القاهرة الجديدة",fyla mstqlh llby3 fy mawntn fyw hayd bark bmsa7h 731 mtr b 4 2w9d w 4 7mamat bs3r 125622630 fy alqahrh algdydh
"فيلا مستقلة للبيع فى ماونتن فيو هايد بارك بمساحة 731 متر ب أوضة و حمام, بسعر 140005190 في القاهرة الجديدة",fyla mstqlh llby3 fy mawntn fyw hayd bark bmsa7h 731 mtr b 2w9dh w 7mam bs3r 140005190 fy alqahrh algdydh
"فيلا مستقلة للبيع فى اكتوبر بارك بمساحة 361 متر ب 3 أوض و 3 حمامات, بسعر 41227942 في كرداسة",fyla mstqlh llby3 fy aktwbr bark bmsa7h 361 mtr b 3 2w9d w 3 7mamat bs3r 41227942 fy krdash
"مبنى كامل للبيع في كايرو بيزنس بارك 495 متر ب 3 أوض و 3 حمامات, بسعر 587400000 في القاهرة الجديدة",mbny kaml llby3 fy kayrw byzns bark 495 mtr b 3 2w9d w 3 7mamat bs3r 587400000 fy alqahrh algdydh
"شقة للبيع في ذا ايكون جاردنز 175 متر ب 3 أوض و 3 حمامات, بسعر 7500000 في القاهرة الجديدة",shqh llby3 fy dha aykwn gardnz 175 mtr b 3 2w9d w 3 7mamat bs3r 7500000 fy alqahrh algdydh
"فيلا مستقلة للبيع فى سولت بمساحة 180 متر ب أوضتين و حمامين, بسعر 31860000 في راس حكمة",fyla mstqlh llby3 fy swlt bmsa7h 180 mtr b 2w9dtyn w 7mamyn bs3r 31860000 fy ras 7kmh
"فيلا مستقلة للبيع فى سولت بمساحة 180 متر ب 4 أوض و 3 حمامات, بسعر 35046000 في راس حكمة",fyla mstqlh llby3 fy swlt bmsa7h 180 mtr b 4 2w9d w 3 7mamat bs3r 35046000 fy ras 7kmh
"شاليه للبيع في سيلفر تاون 107 متر ب 4 أوض و 3 حمامات, بسعر 21146000 في راس حكمة",shalyh llby3 fy sylfr tawn 107 mtr b 4 2w9d w 3 7mamat bs3r 21146000 fy ras 7kmh
"شاليه للبيع في سيلفر تاون 211 متر ب 3 أوض و حمامين, بسعر 37167000 في راس حكمة",shalyh llby3 fy sylfr tawn 211 mtr b 3 2w9d w 7mamyn bs3r 37167000 fy ras 7kmh
"شقة للبيع في سيلفر تاون 211 متر ب أوضة و حمام, بسعر 44225000 في راس حكمة",shqh llby3 fy sylfr tawn 211 mtr b 2w9dh w 7mam bs3r 44225000 fy ras 7kmh
"مكتب ادارى للبيع فى سنترال أفينيو بمساحة 105 متر ب 5 أوض و 4 حمامات, بسعر 13500000 في المقطم",mktb adary llby3 fy sntral 2fynyw bmsa7h 105 mtr b 5 2w9d w 4 7mamat bs3r 13500000 fy almq6m
"مكتب ادارى للبيع فى سنترال أفينيو بمساحة 132 متر ب 4 أوض و 5 حمامات, بسعر 16900000 في مدينة المستقبل",mktb adary llby3 fy sntral 2fynyw bmsa7h 132 mtr b 4 2w9d w 5 7mamat bs3r 16900000 fy mdynh almstqbl
"تاون هاوس للبيع فى فى ليفيلز بمساحة 229 متر ب 3 أوض و 5 حمامات, بسعر 15096000 في مدينة المستقبل",tawn haws llby3 fy fy lyfylz bmsa7h 229 mtr b 3 2w9d w 5 7mamat bs3r 15096000 fy mdynh almstqbl
"تاون هاوس للبيع فى فى ليفيلز بمساحة 288 متر ب 5 أوض و 5 حمامات, بسعر 21984000 في مدينة المستقبل",tawn haws llby3 fy fy lyfylz bmsa7h 288 mtr b 5 2w9d w 5 7mamat bs3r 21984000 fy mdynh almstqbl
"توين هاوس للبيع فى فى ليفلز بمساحة 270 متر ب 4 أوض و 5 حمامات, بسعر 19855000 في مدينة المستقبل",twyn haws llby3 fy fy lyflz bmsa7h 270 mtr b 4 2w9d w 5 7mamat bs3r 19855000 fy mdynh almstqbl
"توين هاوس للبيع في جون 241 متر ب 3 أوض و حمامين, بسعر 44185000 في راس حكمة",twyn haws llby3 fy gwn 241 mtr b 3 2w9d w 7mamyn bs3r 44185000 fy ras 7kmh
"فيلا مستقلة  للبيع في جون 279 متر ب أوضتين و حمام, بسعر 154577000 في راس حكمة",fyla mstqlh  llby3 fy gwn 279 mtr b 2w9dtyn w 7mam bs3r 154577000 fy ras 7kmh
"فيلا مستقلة للبيع في لاسيرينا عيون موسى 150 متر ب 3 أوض و حمامين, بسعر 7500000 في رأس سدر",fyla mstqlh llby3 fy lasyryna 3ywn mwsy 150 mtr b 3 2w9d w 7mamyn bs3r 7500000 fy r2s sdr
"شاليه للبيع في لاسيرينا عيون موسى 80 متر ب 4 أوض و 3 حمامات, بسعر 1985000 في رأس سدر",shalyh llby3 fy lasyryna 3ywn mwsy 80 mtr b 4 2w9d w 3 7mamat bs3r 1985000 fy r2s sdr
"شاليه للبيع في لاسيرينا عيون موسى 105 متر ب أوضتين و حمام, بسعر 3220000 في رأس سدر",shalyh llby3 fy lasyryna 3ywn mwsy 105 mtr b 2w9dtyn w 7mam bs3r 3220000 fy r2s sdr
"فيلا مستقلة للبيع في لاسيرينا باي 150 متر ب 3 أوض و حمامين, بسعر 7500000 في رأس سدر",fyla mstqlh llby3 fy lasyryna bay 150 mtr b 3 2w9d w 7mamyn bs3r 7500000 fy r2s sdr
"شاليه للبيع في لاسيرينا باي 85 متر ب أوضتين و حمام, بسعر 2365000 في رأس سدر",shalyh llby3 fy lasyryna bay 85 mtr b 2w9dtyn w 7mam bs3r 2365000 fy r2s sdr
"شاليه للبيع في لاسيرينا باي 120 متر ب 3 أوض و حمامين, بسعر 3840000 في رأس سدر",shalyh llby3 fy lasyryna bay 120 mtr b 3 2w9d w 7mamyn bs3r 3840000 fy r2s sdr
"شاليه للبيع في لافينتو عيون موسى 95 متر ب 3 أوض و حمامين, بسعر 4635000 في رأس سدر",shalyh llby3 fy lafyntw 3ywn mwsy 95 mtr b 3 2w9d w 7mamyn bs3r 4635000 fy r2s sdr
"شاليه للبيع في لافينتو عيون موسى 105 متر ب أوضتين و حمام, بسعر 2845000 في رأس سدر",shalyh llby3 fy lafyntw 3ywn mwsy 105 mtr b 2w9dtyn w 7mam bs3r 2845000 fy r2s sdr
"شاليه للبيع في كايب باي 120 متر ب 3 أوض و 3 حمامات, بسعر 6240000 في العين السخنة",shalyh llby3 fy kayb bay 120 mtr b 3 2w9d w 3 7mamat bs3r 6240000 fy al3yn als5nh
"شاليه للبيع في كايب باي 80 متر ب 3 أوض و 3 حمامات, بسعر 3770000 في العين السخنة",shalyh llby3 fy kayb bay 80 mtr b 3 2w9d w 3 7mamat bs3r 3770000 fy al3yn als5nh
"فيلا مستقلة للبيع في لاسيرينا ميني إيجيبت 250 متر ب أوضة و حمام, بسعر 10300000 في العين السخنة",fyla mstqlh llby3 fy lasyryna myny 2ygybt 250 mtr b 2w9dh w 7mam bs3r 10300000 fy al3yn als5nh
"فيلا مستقلة للبيع في لاسيرينا ميني إيجيبت 250 متر ب أوضة و حمام, بسعر 9600000 في العين السخنة",fyla mstqlh llby3 fy lasyryna myny 2ygybt 250 mtr b 2w9dh w 7mam bs3r 9600000 fy al3yn als5nh
"محل تجارى للبيع فى ذا لارك مول بمساحة 49 متر ب أوضة و حمام, بسعر 11206667 في القاهرة الجديدة",m7l tgary llby3 fy dha lark mwl bmsa7h 49 mtr b 2w9dh w 7mam bs3r 11206667 fy alqahrh algdydh
"استوديو للبيع في لاسيرينا ميني إيجيبت 65 متر ب أوضة و حمام, بسعر 2700000 في العين السخنة",astwdyw llby3 fy lasyryna myny 2ygybt 65 mtr b 2w9dh w 7mam bs3r 2700000 fy al3yn als5nh
"استوديو للبيع في لاسيرينا ميني إيجيبت 40 متر ب أوضة و حمام, بسعر 1665000 في العين السخنة",astwdyw llby3 fy lasyryna myny 2ygybt 40 mtr b 2w9dh w 7mam bs3r 1665000 fy al3yn als5nh
"مكتب ادارى للبيع فى ذا لارك مول بمساحة 52 متر ب أوضتين و 3 حمامات, بسعر 6240000 في القاهرة الجديدة",mktb adary llby3 fy dha lark mwl bmsa7h 52 mtr b 2w9dtyn w 3 7mamat bs3r 6240000 fy alqahrh algdydh
"عيادة طبية للبيع فى ذا لارك مول بمساحة 73 متر ب أوضتين و حمام, بسعر 8700000 في القاهرة الجديدة",3yadh 6byh llby3 fy dha lark mwl bmsa7h 73 mtr b 2w9dtyn w 7mam bs3r 8700000 fy alqahrh algdydh
"شاليه للبيع في ميني إيجيبت 120 متر ب أوضتين و حمامين, بسعر 6300000 في العين السخنة",shalyh llby3 fy myny 2ygybt 120 mtr b 2w9dtyn w 7mamyn bs3r 6300000 fy al3yn als5nh
"شاليه للبيع في ميني إيجيبت 75 متر ب 5 أوض و 4 حمامات, بسعر 2960000 في العين السخنة",shalyh llby3 fy myny 2ygybt 75 mtr b 5 2w9d w 4 7mamat bs3r 2960000 fy al3yn als5nh
"محل تجاري للبيع في جولدن جيت 131 متر ب 4 أوض و 4 حمامات, بسعر 48800000 في القاهرة الجديدة",m7l tgary llby3 fy gwldn gyt 131 mtr b 4 2w9d w 4 7mamat bs3r 48800000 fy alqahrh algdydh
"فيلا مستقلة للبيع في بالم بيتش 300 متر ب 4 أوض و 4 حمامات, بسعر 22000000 في العين السخنة",fyla mstqlh llby3 fy balm bytsh 300 mtr b 4 2w9d w 4 7mamat bs3r 22000000 fy al3yn als5nh
"دوبلكس للبيع في بالم بيتش 170 متر ب أوضة و حمام, بسعر 12000000 في العين السخنة",dwblks llby3 fy balm bytsh 170 mtr b 2w9dh w 7mam bs3r 12000000 fy al3yn als5nh
"دوبلكس للبيع في بالم بيتش 200 متر ب 3 أوض و 3 حمامات, بسعر 17000000 في العين السخنة",dwblks llby3 fy balm bytsh 200 mtr b 3 2w9d w 3 7mamat bs3r 17000000 fy al3yn als5nh
"استديو للبيع فى لازولى بمساحة 35 متر ب أوضة و حمام, بسعر 894600 في سفاجا",astdyw llby3 fy lazwly bmsa7h 35 mtr b 2w9dh w 7mam bs3r 894600 fy sfaga
"شاليه للبيع في بالم بيتش 120 متر ب 4 أوض و 3 حمامات, بسعر 7725000 في العين السخنة",shalyh llby3 fy balm bytsh 120 mtr b 4 2w9d w 3 7mamat bs3r 7725000 fy al3yn als5nh
"شاليه للبيع في بالم بيتش 65 متر ب 4 أوض و 3 حمامات, بسعر 3900000 في العين السخنة",shalyh llby3 fy balm bytsh 65 mtr b 4 2w9d w 3 7mamat bs3r 3900000 fy al3yn als5nh
"دوبلكس للبيع في ماجيستي باي 212 متر ب 3 أوض و حمامين, بسعر 18000000 في العين السخنة",dwblks llby3 fy magysty bay 212 mtr b 3 2w9d w 7mamyn bs3r 18000000 fy al3yn als5nh
"دوبلكس للبيع في ماجيستي باي 212 متر ب أوضة و حمام, بسعر 17500000 في العين السخنة",dwblks llby3 fy magysty bay 212 mtr b 2w9dh w 7mam bs3r 17500000 fy al3yn als5nh
"شاليه للبيع في ماجيستي باي 140 متر ب أوضة و حمام, بسعر 10000000 في العين السخنة",shalyh llby3 fy magysty bay 140 mtr b 2w9dh w 7mam bs3r 10000000 fy al3yn als5nh
"استوديو للبيع في لاسيرينا الساحل الشمالي 45 متر ب أوضة و حمام, بسعر 2250000 في الضبعة",astwdyw llby3 fy lasyryna alsa7l alshmaly 45 mtr b 2w9dh w 7mam bs3r 2250000 fy al9db3h
"استوديو للبيع في لاسيرينا الساحل الشمالي 45 متر ب 4 أوض و 3 حمامات, بسعر 2575000 في الضبعة",astwdyw llby3 fy lasyryna alsa7l alshmaly 45 mtr b 4 2w9d w 3 7mamat bs3r 2575000 fy al9db3h
"شاليه للبيع في لاسيرينا الساحل الشمالي 60 متر ب 5 أوض و 3 حمامات, بسعر 3450000 في الضبعة",shalyh llby3 fy lasyryna alsa7l alshmaly 60 mtr b 5 2w9d w 3 7mamat bs3r 3450000 fy al9db3h
"شاليه للبيع في لاسيرينا الساحل الشمالي 150 متر ب 5 أوض و 3 حمامات, بسعر 11000000 في الضبعة",shalyh llby3 fy lasyryna alsa7l alshmaly 150 mtr b 5 2w9d w 3 7mamat bs3r 11000000 fy al9db3h
"فيلا مستقلة للبيع في لاسيرينا الساحل الشمالي 300 متر ب أوضتين و حمامين, بسعر 25000000 في الضبعة",fyla mstqlh llby3 fy lasyryna alsa7l alshmaly 300 mtr b 2w9dtyn w 7mamyn bs3r 25000000 fy al9db3h
"فيلا مستقلة للبيع في لاسيرينا الساحل الشمالي 300 متر ب أوضة و حمام, بسعر 26000000 في الضبعة",fyla mstqlh llby3 fy lasyryna alsa7l alshmaly 300 mtr b 2w9dh w 7mam bs3r 26000000 fy al9db3h
"محل تجارى للبيع فى ذا لارك مول بمساحة 97 متر ب أوضة و حمام, بسعر 14550000 في القاهرة الجديدة",m7l tgary llby3 fy dha lark mwl bmsa7h 97 mtr b 2w9dh w 7mam bs3r 14550000 fy alqahrh algdydh
"محل تجارى للبيع فى مدار بمساحة 32  متر ب أوضة و حمام, بسعر 7230000 في ماديناتي",m7l tgary llby3 fy mdar bmsa7h 32  mtr b 2w9dh w 7mam bs3r 7230000 fy madynaty
"محل تجارى للبيع فى مدار بمساحة 49 متر ب أوضة و حمام, بسعر 5820000 في ماديناتي",m7l tgary llby3 fy mdar bmsa7h 49 mtr b 2w9dh w 7mam bs3r 5820000 fy madynaty
"مكتب ادارى للبيع فى مدار بمساحة 19 متر ب أوضة و حمام, بسعر 1628000 في ماديناتي",mktb adary llby3 fy mdar bmsa7h 19 mtr b 2w9dh w 7mam bs3r 1628000 fy madynaty
